,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,,
132,496,0.31,0.375984515,0.039323529,-0.065984515,0.270676471,-0.107822435,0.004353956,0.073265752,,,,
133,497,0.15,0.624581552,0.039382353,-0.474581552,0.110617647,-0.108601291,0.22522765,0.012236264,,,,
134,498,-1.69,0.412981675,0.040470588,-2.102981675,-1.730470588,-0.112843995,4.422531927,2.994528457,,,,
135,501,0.09,-0.612905149,0.0355,0.702905149,0.0545,-0.115060275,0.494075648,0.00297025,,,,
136,502,0.22,0.090899683,0.035558824,0.129100317,0.184441176,-0.114507509,0.016666892,0.034018548,,,,
137,503,0.81,-0.010278574,0.036411765,0.820278574,0.773588235,-0.113852739,0.67285694,0.598438758,,,,
138,504,-0.08,0.121497435,0.038205882,-0.201497435,-0.118205882,-0.113565333,0.040601216,0.013972631,,,,
139,505,-0.45,-0.199958123,0.040705882,-0.250041877,-0.490705882,-0.111970837,0.06252094,0.240792263,,,,
140,508,-0.35,-0.168390527,0.039264706,-0.181609473,-0.389264706,-0.110795712,0.032982001,0.151527011,,,,
141,509,0,0.219425183,0.0345,-0.219425183,-0.0345,-0.110645657,0.048147411,0.00119025,,,,
142,510,-0.25,-0.154668108,0.032382353,-0.095331892,-0.282382353,-0.109808321,0.00908817,0.079739793,,,,
143,511,0.7,0.159515409,0.033470588,0.540484591,0.666529412,-0.108197335,0.292123593,0.444261457,,,,
144,512,0.84,-0.074798005,0.040941176,0.914798005,0.799058824,-0.108216694,0.83685539,0.638495003,,,,
145,516,1.22,0.109077424,0.046441176,1.110922576,1.173558824,-0.105815589,1.234148969,1.377240312,,,,
146,517,0.45,0.377103398,0.0535,0.072896602,0.3965,-0.104544275,0.005313915,0.15721225,,,,
147,518,0.1,0.459892922,0.058235294,-0.359892922,0.041764706,-0.104826746,0.129522916,0.001744291,,,,
148,519,0.02,-0.243940494,0.061205882,0.263940494,-0.041205882,-0.104809611,0.069664584,0.001697925,,,,
149,522,-0.81,-0.213523306,0.059588235,-0.596476694,-0.869588235,-0.101792955,0.355784447,0.756183699,,,,
150,523,0.28,-0.732199486,0.052529412,1.012199486,0.227470588,-0.106197083,1.024547798,0.051742869,,,,
151,524,0.8,0.059577867,0.054705882,0.740422133,0.745294118,-0.105310072,0.548224935,0.555463322,,,,
152,525,0.01,-0.388679358,0.0565,0.398679358,-0.0465,-0.105721784,0.15894523,0.00216225,,,,
153,526,-0.69,0.132288099,0.052588235,-0.822288099,-0.742588235,-0.105487333,0.676157717,0.551437287,,,,
154,529,-0.16,-0.773097338,0.046882353,0.613097338,-0.206882353,-0.106701064,0.375888346,0.042800308,,,,
