,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,
157,12881,0.47,-0.592547476,-0.007055556,1.062547476,0.477055556,-0.121879474,1.129007138,0.227582003,,
158,12884,0.6,0.258880415,0.000416667,0.341119585,0.599583333,-0.120583664,0.116362571,0.359500174,,
159,12885,0.34,-0.278065029,0.003944444,0.618065029,0.336055556,-0.120991871,0.38200438,0.112933336,,
160,12886,-0.33,0.659852595,0.005055556,-0.989852595,-0.335055556,-0.123245142,0.979808161,0.112262225,,
161,12887,1.27,0.572651535,0.000166667,0.697348465,1.269833333,-0.11872981,0.486294881,1.612476694,,
162,12888,0.55,0.335458177,0.00275,0.214541823,0.54725,-0.117465866,0.046028194,0.299482563,,
163,12891,0.07,0.44210277,0.004083333,-0.37210277,0.065916667,-0.117512271,0.138460471,0.004345007,,
164,12892,0.61,-1.32699946,0.002833333,1.93699946,0.607166667,-0.12722699,3.75196691,0.368651361,,
165,12893,0.98,-0.124093716,0.004861111,1.104093716,0.975138889,-0.127235072,1.219022933,0.950895853,,
166,12894,-0.61,0.223933255,0.005666667,-0.833933255,-0.615666667,-0.127630249,0.695444674,0.379045444,,
167,12895,0.3,-0.065233886,0.001055556,0.365233886,0.298944444,-0.127339812,0.133395792,0.089367781,,
168,12898,0.04,-0.380995733,0.001916667,0.420995733,0.038083333,-0.12747844,0.177237407,0.00145034,,
169,12899,-0.35,0.345994196,0.001361111,-0.695994196,-0.351361111,-0.128109124,0.484407921,0.12345463,,
170,12900,0.66,0.500412194,-0.001833333,0.159587806,0.661833333,-0.126337664,0.025468268,0.438023361,,
171,12901,-0.13,-0.125025625,-0.006166667,-0.004974375,-0.123833333,-0.125916564,2.47E-05,0.015334694,,
172,12902,0.3,-0.433806771,-0.010583333,0.733806771,0.310583333,-0.126795414,0.538472378,0.096462007,,
173,12905,0.04,-0.534002967,-0.013305556,0.574002967,0.053305556,-0.127373594,0.329479406,0.002841482,,
174,12906,-0.18,-0.21987463,-0.018416667,0.03987463,-0.161583333,-0.126925224,0.001589986,0.026109174,,
175,12907,0.78,-0.071332551,-0.017833333,0.851332551,0.797833333,-0.126548517,0.724767113,0.636538028,,
176,12908,0.01,-0.4382314,-0.020555556,0.4482314,0.030555556,-0.126760892,0.200911388,0.000933642,,
177,12909,-0.48,-0.124596927,-0.019694444,-0.355403073,-0.460305556,-0.126069564,0.126311344,0.211881204,,
178,12912,-0.27,0.116837917,-0.024583333,-0.386837917,-0.245416667,-0.125944341,0.149643574,0.06022934,,
179,12913,0.02,1.060906656,-0.02525,-1.040906656,0.04525,-0.128654555,1.083486667,0.002047563,,
180,12914,-1.37,-0.287689902,-0.032472222,-1.082310098,-1.337527778,-0.125813114,1.171395148,1.788980556,,
181,12915,-0.78,0.691619524,-0.0415,-1.471619524,-0.7385,-0.129767235,2.165664022,0.54538225,,
182,12916,-0.55,0.297238214,-0.040194444,-0.847238214,-0.509805556,-0.130572169,0.717812591,0.259901704,,
183,12919,1.18,0.521307888,-0.040055556,0.658692112,1.220055556,-0.126685998,0.433875298,1.488535559,,
184,12920,0.27,-0.816080113,-0.037888889,1.086080113,0.307888889,-0.129285547,1.179570012,0.094795568,,
185,12921,0.08,-0.677651361,-0.041805556,0.757651361,0.121805556,-0.130459357,0.574035585,0.014836593,,
186,12922,0.11,0.350055244,-0.039277778,-0.240055244,0.149277778,-0.130195295,0.05762652,0.022283855,,
187,12923,0.6,0.324833606,-0.033638889,0.275166394,0.633638889,-0.128795967,0.075716544,0.401498242,,
188,12926,-0.14,-0.512320888,-0.026027778,0.372320888,-0.113972222,-0.128788146,0.138622843,0.012989667,,
189,12927,0.62,-0.262575783,-0.027916667,0.882575783,0.647916667,-0.129244964,0.778940012,0.419796007,,
190,12928,1.52,0.380869934,-0.0255,1.139130066,1.5455,-0.125021138,1.297617307,2.38857025,,
191,12929,1.35,0.001078075,-0.021,1.348921925,1.371,-0.12380711,1.81959036,1.879641,,
192,12930,0.38,0.091601171,-0.008555556,0.288398829,0.388555556,-0.123246868,0.083173885,0.15097542,,
193,12934,0.18,-0.587110731,-0.007944444,0.767110731,0.187944444,-0.124375798,0.588458874,0.035323114,,
194,12935,0.14,-0.468722493,-0.015111111,0.608722493,0.155111111,-0.124957922,0.370543074,0.024059457,,
195,12936,-0.11,0.208032489,-0.014944444,-0.318032489,-0.095055556,-0.12487539,0.101144664,0.009035559,,
196,12937,-0.47,0.048786396,-0.018472222,-0.518786396,-0.451527778,-0.124649016,0.269139324,0.203877334,,
197,12940,1.53,-0.196124081,-0.021833333,1.726124081,1.551833333,-0.124901636,2.979504343,2.408186694,,
198,12941,0.86,0.092328205,-0.016472222,0.767671795,0.876472222,-0.123836263,0.589319985,0.768203556,,
199,12942,-0.77,-0.009428577,-0.011361111,-0.760571423,-0.758638889,-0.123318652,0.57846889,0.575532964,,
200,12943,1.21,-0.389117505,-0.015527778,1.599117505,1.225527778,-0.125147444,2.557176794,1.501918334,,
201,12944,-0.58,-0.058239994,-0.010111111,-0.521760006,-0.569888889,-0.124582405,0.272233503,0.324773346,,
